Time	,	Pressure	,
2022_October_20_16:44.46	,		0.675950
2022_October_20_16:44.47	,		0.673914
2022_October_20_16:44.48	,		0.673914
2022_October_20_16:44.49	,		0.673914
2022_October_20_16:44.50	,		0.673914
2022_October_20_16:44.51	,		0.673914
2022_October_20_16:44.52	,		0.673914
2022_October_20_16:44.53	,		0.673914
2022_October_20_16:44.54	,		0.673914
2022_October_20_16:44.55	,		0.673914
2022_October_20_16:44.56	,		0.673914
2022_October_20_16:44.57	,		0.673914
2022_October_20_16:44.58	,		0.673914
2022_October_20_16:44.59	,		0.673914
2022_October_20_16:45.00	,		1.041961
2022_October_20_16:45.01	,		0.601628
2022_October_20_16:45.02	,		0.608754
2022_October_20_16:45.03	,		0.357281
2022_October_20_16:45.04	,		0.444329
2022_October_20_16:45.05	,		0.307902
2022_October_20_16:45.06	,		0.111916
2022_October_20_16:45.07	,		0.112425
2022_October_20_16:45.08	,		0.112425
2022_October_20_16:45.09	,		0.112425
2022_October_20_16:45.10	,		0.112425
2022_October_20_16:45.11	,		0.112425
2022_October_20_16:45.12	,		0.112425
2022_October_20_16:45.13	,		0.112425
2022_October_20_16:45.14	,		0.112425
2022_October_20_16:45.15	,		0.073736
2022_October_20_16:45.16	,		0.030467
2022_October_20_16:45.17	,		0.011632
2022_October_20_16:45.18	,		0.004505
2022_October_20_16:45.19	,		0.001960
2022_October_20_16:45.20	,		0.137878
2022_October_20_16:45.21	,		0.436693
2022_October_20_16:45.22	,		0.441275
2022_October_20_16:45.23	,		0.643370
2022_October_20_16:45.24	,		0.427021
2022_October_20_16:45.25	,		0.490144
2022_October_20_16:45.26	,		0.328264
2022_October_20_16:45.27	,		0.776234
2022_October_20_16:45.28	,		0.458583
2022_October_20_16:45.29	,		0.360844
2022_October_20_16:45.30	,		0.435166
2022_October_20_16:45.31	,		0.384770
2022_October_20_16:45.32	,		0.347609
2022_October_20_16:45.33	,		0.429058
2022_October_20_16:45.34	,		0.530869
2022_October_20_16:45.35	,		0.188274
2022_October_20_16:45.36	,		0.125151
