Time	,	Pressure (bar)	,
16:49:05.7828	,		0.401976
16:49:05.8025	,		0.401950
16:49:05.8513	,		0.402078
16:49:05.8536	,		0.402052
16:49:05.8627	,		0.401874
16:49:05.8830	,		0.402001
16:49:05.9107	,		0.402001
16:49:05.9226	,		0.402001
16:49:05.9435	,		0.401874
16:49:05.9625	,		0.401976
16:49:05.9824	,		0.401925
16:49:06.0031	,		0.401925
16:49:06.0230	,		0.402027
16:49:06.0429	,		0.401976
16:49:06.0640	,		0.402052
16:49:06.0838	,		0.402027
16:49:06.1038	,		0.402001
16:49:06.1236	,		0.401874
16:49:06.1425	,		0.401976
16:49:06.1631	,		0.401976
16:49:06.1921	,		0.401925
16:49:06.2025	,		0.401925
16:49:06.2234	,		0.402001
16:49:06.2504	,		0.402001
16:49:06.2623	,		0.402001
16:49:06.2823	,		0.401976
16:49:06.3039	,		0.401950
16:49:06.3228	,		0.402001
16:49:06.3427	,		0.402027
16:49:06.3637	,		0.402001
16:49:06.3826	,		0.401976
16:49:06.4035	,		0.402001
16:49:06.4225	,		0.401976
16:49:06.4434	,		0.401976
16:49:06.4624	,		0.401976
16:49:06.4833	,		0.401976
16:49:06.5029	,		0.401950
16:49:06.5228	,		0.401874
16:49:06.5427	,		0.401976
16:49:06.5627	,		0.401925
16:49:06.5823	,		0.401950
16:49:06.6027	,		0.401950
16:49:06.6236	,		0.401950
16:49:06.6426	,		0.402027
16:49:06.6635	,		0.402001
16:49:06.6837	,		0.401925
16:49:06.7042	,		0.401849
16:49:06.7240	,		0.402001
16:49:06.7430	,		0.401976
16:49:06.7639	,		0.401925
16:49:06.7839	,		0.401950
16:49:06.8040	,		0.401976
16:49:06.8238	,		0.401899
16:49:06.8438	,		0.401899
16:49:06.8637	,		0.401950
16:49:06.8840	,		0.401976
16:49:06.9036	,		0.402001
16:49:06.9235	,		0.401950
16:49:06.9439	,		0.402027
16:49:06.9629	,		0.401976
16:49:06.9838	,		0.402001
16:49:07.0022	,		0.401950
16:49:07.0284	,		0.401976
16:49:07.0434	,		0.402052
16:49:07.0633	,		0.402078
16:49:07.0833	,		0.402052
16:49:07.1034	,		0.402001
16:49:07.1222	,		0.401950
16:49:07.1431	,		0.401950
16:49:07.1621	,		0.402078
16:49:07.1830	,		0.401925
16:49:07.2042	,		0.402027
16:49:07.2235	,		0.402001
16:49:07.2436	,		0.402027
16:49:07.2637	,		0.402001
16:49:07.2841	,		0.401950
16:49:07.3032	,		0.402001
16:49:07.3223	,		0.402052
16:49:07.3429	,		0.402001
16:49:07.3628	,		0.401976
16:49:07.3828	,		0.402001
16:49:07.4025	,		0.402027
16:49:07.4225	,		0.402001
16:49:07.4424	,		0.402001
16:49:07.4623	,		0.401950
16:49:07.4824	,		0.402001
16:49:07.5023	,		0.402052
16:49:07.5224	,		0.401950
16:49:07.5434	,		0.401976
16:49:07.5624	,		0.402001
16:49:07.5833	,		0.401950
16:49:07.6023	,		0.401976
16:49:07.6232	,		0.401976
16:49:07.6422	,		0.401976
16:49:07.6631	,		0.402027
16:49:07.6840	,		0.402027
16:49:07.7035	,		0.402027
16:49:07.7236	,		0.402027
16:49:07.7434	,		0.402027
16:49:07.7634	,		0.401925
16:49:07.7823	,		0.402027
16:49:07.8119	,		0.402027
16:49:07.8329	,		0.402027
16:49:07.8498	,		0.401925
16:49:07.8817	,		0.402001
16:49:07.8837	,		0.402052
16:49:07.9027	,		0.401976
16:49:07.9228	,		0.402001
16:49:07.9438	,		0.401874
16:49:07.9639	,		0.402052
16:49:07.9837	,		0.402027
16:49:08.0037	,		0.402027
16:49:08.0237	,		0.402001
16:49:08.0426	,		0.402052
16:49:08.0637	,		0.401899
16:49:08.0839	,		0.401976
16:49:08.1038	,		0.402001
16:49:08.1241	,		0.402027
16:49:08.1439	,		0.401976
16:49:08.1629	,		0.402001
16:49:08.1840	,		0.401925
16:49:08.2038	,		0.402052
16:49:08.2221	,		0.401925
16:49:08.2431	,		0.401899
16:49:08.2632	,		0.401976
16:49:08.2839	,		0.402027
16:49:08.3023	,		0.401950
16:49:08.3239	,		0.402001
16:49:08.3432	,		0.402001
16:49:08.3638	,		0.402027
16:49:08.3830	,		0.401976
16:49:08.4038	,		0.401976
16:49:08.4229	,		0.402001
16:49:08.4428	,		0.402027
16:49:08.4638	,		0.401925
16:49:08.4822	,		0.402027
16:49:08.5026	,		0.402001
16:49:08.5233	,		0.402001
16:49:08.5424	,		0.401976
16:49:08.5622	,		0.402027
16:49:08.5822	,		0.402001
16:49:08.6021	,		0.401925
16:49:08.6226	,		0.402052
16:49:08.6436	,		0.402027
16:49:08.6625	,		0.402001
16:49:08.6831	,		0.401976
16:49:08.7022	,		0.402052
16:49:08.7473	,		0.402001
16:49:08.7493	,		0.402001
16:49:08.7632	,		0.401976
16:49:08.7832	,		0.402027
16:49:08.8021	,		0.401976
16:49:08.8227	,		0.402027
16:49:08.8426	,		0.402001
16:49:08.8626	,		0.401976
16:49:08.8821	,		0.402027
16:49:08.9028	,		0.402027
16:49:08.9233	,		0.401976
16:49:08.9424	,		0.402027
16:49:08.9622	,		0.402001
16:49:08.9832	,		0.402052
16:49:09.0022	,		0.401976
16:49:09.0226	,		0.401976
16:49:09.0425	,		0.402001
16:49:09.0634	,		0.402001
16:49:09.0835	,		0.402001
16:49:09.1034	,		0.402027
16:49:09.1224	,		0.401950
16:49:09.1424	,		0.401976
16:49:09.1623	,		0.401976
16:49:09.1823	,		0.402001
16:49:09.2022	,		0.401976
16:49:09.2238	,		0.402027
16:49:09.2438	,		0.401950
16:49:09.2639	,		0.402001
16:49:09.2832	,		0.402001
16:49:09.3022	,		0.402001
16:49:09.3221	,		0.401925
16:49:09.3421	,		0.401950
16:49:09.3630	,		0.402078
16:49:09.3835	,		0.401925
16:49:09.4035	,		0.402001
16:49:09.4223	,		0.402001
16:49:09.4422	,		0.401950
16:49:09.4632	,		0.402001
16:49:09.4829	,		0.402027
16:49:09.5031	,		0.401976
16:49:09.5230	,		0.401874
16:49:09.5433	,		0.402001
16:49:09.5632	,		0.401976
16:49:09.5837	,		0.402001
16:49:09.6037	,		0.401976
16:49:09.6233	,		0.401976
16:49:09.6422	,		0.402001
16:49:09.6621	,		0.401950
16:49:09.6831	,		0.402001
16:49:09.7022	,		0.401976
16:49:09.7222	,		0.402027
16:49:09.7432	,		0.401950
16:49:09.7633	,		0.401976
16:49:09.7826	,		0.401925
16:49:09.8030	,		0.402001
