Time	,	Pressure (bar)	,
14:48:59.1749	,		0.497500
14:49:40.8786	,		0.497526
14:49:40.9006	,		0.497475
14:49:40.9265	,		0.497577
14:49:40.9275	,		0.497653
14:49:40.9275	,		0.497678
14:49:40.9275	,		0.497551
14:49:41.3786	,		0.497526
14:49:41.8783	,		0.497577
14:49:42.3784	,		0.497602
14:49:42.8783	,		0.497551
14:49:43.3786	,		0.497577
14:49:43.8784	,		0.497627
14:49:44.3781	,		0.497627
14:49:44.8781	,		0.497500
14:49:45.3786	,		0.497653
14:49:45.8783	,		0.497653
14:49:46.3787	,		0.497551
14:49:46.8786	,		0.497577
14:49:47.3780	,		0.497500
14:49:47.8883	,		0.497577
14:49:48.3786	,		0.497551
14:49:48.8779	,		0.497475
14:49:49.3789	,		0.497577
14:49:49.8782	,		0.497602
