Time	,	Pressure (bar)	,
16:33:58.0386	,		0.402027
16:33:58.0573	,		0.402001
16:33:58.0783	,		0.401976
16:33:58.0983	,		0.402052
16:33:58.1172	,		0.401950
16:33:58.1371	,		0.401925
16:33:58.1581	,		0.401925
16:33:58.1770	,		0.401976
16:33:58.1970	,		0.401976
16:33:58.2184	,		0.402001
16:33:58.2374	,		0.401976
16:33:58.2585	,		0.401950
16:33:58.2784	,		0.401925
16:33:58.2984	,		0.402001
16:33:58.3176	,		0.401976
16:33:58.3375	,		0.402001
16:33:58.3575	,		0.402001
16:33:58.3786	,		0.402027
16:33:58.3983	,		0.401950
16:33:58.4174	,		0.402027
16:33:58.4475	,		0.402027
16:33:58.4577	,		0.401950
16:33:58.4776	,		0.402052
16:33:58.4976	,		0.401976
16:33:58.5175	,		0.402027
16:33:58.5379	,		0.401976
16:33:58.5579	,		0.401950
16:33:58.5778	,		0.402001
16:33:58.5978	,		0.401925
16:33:58.6175	,		0.401950
16:33:58.6369	,		0.401976
16:33:58.6579	,		0.401976
16:33:58.6780	,		0.401925
16:33:58.7077	,		0.401976
16:33:58.7283	,		0.401950
16:33:58.7633	,		0.401976
16:33:58.7662	,		0.401976
16:33:58.7772	,		0.401976
16:33:58.7971	,		0.401976
16:33:58.8179	,		0.401976
16:33:58.8380	,		0.401925
16:33:58.8578	,		0.402001
16:33:58.8779	,		0.401976
16:33:58.8988	,		0.401925
16:33:58.9178	,		0.402001
16:33:58.9378	,		0.401925
16:33:58.9581	,		0.401976
16:33:58.9770	,		0.401950
16:33:58.9970	,		0.401925
16:33:59.0169	,		0.401976
16:33:59.0369	,		0.401950
16:33:59.0568	,		0.401976
16:33:59.0779	,		0.401976
16:33:59.0978	,		0.401899
16:33:59.1170	,		0.401950
16:33:59.1369	,		0.401925
16:33:59.1569	,		0.402027
16:33:59.1778	,		0.401976
16:33:59.1988	,		0.401976
16:33:59.2178	,		0.401899
16:33:59.2388	,		0.401976
16:33:59.2577	,		0.401950
16:33:59.2785	,		0.401899
16:33:59.2984	,		0.401874
16:33:59.3184	,		0.402001
16:33:59.3369	,		0.402052
16:33:59.3572	,		0.401976
16:33:59.3782	,		0.402001
16:33:59.3971	,		0.401976
16:33:59.4182	,		0.402027
16:33:59.4374	,		0.402001
