Time	,	Pressure (bar)	,
14:47:05.5190	,		-0.000128
14:47:06.0190	,		-0.000077
14:47:06.5193	,		-0.000077
14:47:07.0194	,		-0.000102
14:47:07.5192	,		-0.000102
14:47:08.0194	,		-0.000077
14:47:08.5194	,		-0.000077
14:47:09.0196	,		-0.000077
14:47:09.5189	,		-0.000077
14:47:10.0195	,		-0.000077
14:47:10.5196	,		-0.000102
14:47:11.0198	,		-0.000102
14:47:11.5191	,		-0.000102
14:47:12.0189	,		-0.000102
14:47:12.5190	,		-0.000153
14:47:13.0190	,		-0.000102
14:47:13.5197	,		-0.000077
14:47:14.0196	,		-0.000102
14:47:14.5197	,		-0.000102
14:47:15.0190	,		-0.000102
