Time	,	Pressure (bar)	,
11:07:49.8359	,		-0.003349
11:07:49.8380	,		-0.003311
11:07:49.8380	,		-0.003330
11:07:49.8540	,		-0.003292
11:07:49.8733	,		-0.003298
11:07:49.8945	,		-0.003298
11:07:49.9244	,		-0.003273
11:07:49.9465	,		-0.003317
11:07:49.9663	,		-0.003285
11:07:50.0004	,		-0.003279
11:07:50.0034	,		-0.003260
11:07:50.0135	,		-0.003292
11:07:50.0343	,		-0.003304
11:07:50.0532	,		-0.003304
11:07:50.0732	,		-0.003317
11:07:50.1391	,		-0.003254
11:07:50.1411	,		-0.003298
11:07:50.1411	,		-0.003336
11:07:50.1541	,		-0.003292
11:07:50.1739	,		-0.003292
11:07:50.2257	,		-0.003292
11:07:50.2284	,		-0.003279
11:07:50.2346	,		-0.003260
11:07:50.2532	,		-0.003266
11:07:50.2742	,		-0.003349
11:07:50.2941	,		-0.003279
11:07:50.3141	,		-0.003298
11:07:50.3343	,		-0.003285
11:07:50.3540	,		-0.003311
11:07:50.4242	,		-0.003279
11:07:50.4264	,		-0.003273
11:07:50.4264	,		-0.003273
11:07:50.4343	,		-0.003311
11:07:50.4532	,		-0.003279
11:07:50.4752	,		-0.003304
11:07:50.4932	,		-0.003273
11:07:50.5141	,		-0.003285
11:07:50.5462	,		-0.003317
11:07:50.5859	,		-0.003311
11:07:50.6348	,		-0.003311
11:07:50.6371	,		-0.003279
11:07:50.6375	,		-0.003285
11:07:50.6378	,		-0.003304
11:07:50.6541	,		-0.003273
11:07:50.6750	,		-0.003304
11:07:50.6937	,		-0.003349
11:07:50.7142	,		-0.003317
11:07:50.7346	,		-0.003279
11:07:50.7655	,		-0.003304
11:07:50.7875	,		-0.003285
11:07:50.8235	,		-0.003304
11:07:50.8248	,		-0.003285
11:07:50.8334	,		-0.003311
11:07:50.8543	,		-0.003292
11:07:50.8735	,		-0.003279
11:07:50.8943	,		-0.003304
11:07:50.9132	,		-0.003266
11:07:50.9425	,		-0.003298
11:07:50.9545	,		-0.003298
11:07:50.9741	,		-0.003279
11:07:50.9947	,		-0.003317
11:07:51.0584	,		-0.003330
11:07:51.0615	,		-0.003330
11:07:51.0619	,		-0.003279
